Predictions1,Targets
-2.6546884,0.09986776
-2.6562142,0.10955686
-2.6581979,0.105548434
-2.6598763,0.10179551
-2.6621654,0.08986509
-2.663081,0.14866579
-2.6655223,0.11354638
-2.668269,0.12744823
-2.6705577,0.1498152
-2.6729991,0.15152302
-2.6754405,0.18487933
-2.6769664,0.19114701
-2.6781871,0.16580737
-2.6792552,0.19793473
-2.4726484,0.18424852
-1.1896696,0.21137595
0.18242168,0.18813618
1.5067525,0.2006341
2.6075382,0.21571642
2.6868849,0.21683072
2.6856642,0.2349666
2.6833754,0.21416146
2.6821547,0.18598866
2.6810865,0.23876096
2.6795607,0.2499148
2.6762037,0.2986838
2.6746774,0.28297153
2.6736093,0.26517427
2.6723886,0.24714762
2.671473,0.22596282
2.6700997,0.27327502
2.6675057,0.28213263
2.6665902,0.284237
2.665217,0.28900167
2.663691,0.3310367
