Predictions1,Predictions2,Predictions3,Predictions4,Weights1,Weights2,Weights3,Weights4,Updates1,Updates2,Updates3,Updates4,Targets
0.13328743,2.5187302,2.686122,0.14656305,0.2221457,4.1978836,4.4768696,0.24427174,-0.32307568,3.9707212,4.2720265,-0.29917955,0.3127739
0.15388727,2.662623,2.686122,0.142138,0.25227422,4.3649554,4.4034786,0.23301312,-0.34050968,4.2504764,4.29348,-0.36201084,0.33995813
0.1686883,2.65301,2.6859694,0.15053034,0.2720779,4.279048,4.3322086,0.24279086,-0.18360731,4.437231,4.4985356,-0.21738112,0.2674019
0.10276985,2.6638436,2.6859694,0.14045954,0.16312675,4.2283235,4.2634435,0.22295165,-0.50660133,4.333828,4.3756456,-0.43536785,0.3708129
0.10154915,2.6758986,2.6858168,0.14412165,0.15867054,4.181092,4.196589,0.22519007,-0.4765713,4.4661794,4.4852223,-0.39483207,0.34976336
0.15663385,2.6873426,2.6858168,0.14915705,0.24097517,4.1343737,4.1320257,0.22947238,-0.39013398,4.544748,4.5417724,-0.40471375,0.35670257
0.13679743,2.6849012,2.686122,0.14946222,0.20726882,4.068032,4.0698814,0.22645791,-0.48426786,4.5609775,4.5633945,-0.4591916,0.38137716
0.1737237,2.684596,2.6858168,0.14686823,0.2592891,4.00686,4.008682,0.2192063,-0.23534626,4.811507,4.813961,-0.28932574,0.2908114
0.19447613,2.68719,2.6849012,0.15190363,0.2859943,3.95175,3.948384,0.22338769,-0.39685807,4.688278,4.683609,-0.48370594,0.3890144
0.15419245,2.6873426,2.6849012,0.14671564,0.22346732,3.8946996,3.8911612,0.21263136,-0.40717572,4.8364453,4.8313913,-0.42265272,0.3508957
