Predictions1,Predictions2,Predictions3,Predictions4,Targets
1.2879376,2.6821547,-1.9651332,2.6873426,0.8003933
1.2871747,2.6821547,-1.9872589,2.6868849,0.8055896
1.3147937,2.682002,-1.9774928,2.6873426,0.8250537
1.3198291,2.6821547,-1.9872589,2.6870375,0.82035106
1.3198291,2.6821547,-1.9881744,2.6870375,0.83237237
1.3018231,2.6823072,-1.9970245,2.6868849,0.8272383
0.32997608,2.6591134,-1.9808497,2.68719,0.8385203
1.2334633,2.6823072,-1.9904633,2.6868849,0.86199266
1.2369728,2.6824598,-1.9810023,2.6870375,0.84347326
1.195621,2.6824598,-1.9758143,2.6873426,0.85832095
1.1524382,2.6824598,-1.970016,2.68719,0.0059917853
