Weights1,Weights2,Weights3,Weights4,Targets
1.9508659,5.3716335,-5.3579,-5.3511863,0.007120771
4.476616,4.466189,-4.4651713,-4.4611025,0.019799551
3.8336115,3.8211856,-3.8362274,-3.8238018,0.012361495
3.3555546,3.3406765,-3.361086,-3.3443007,0.032628044
2.980511,2.9677947,-2.9825454,-2.9713554,0.0133249955
2.6787977,2.666285,-2.6850538,-2.674525,0.03992178
2.435132,2.4237568,-2.4288895,-2.4302766,0.007276386
2.231187,2.2198699,-1.9611021,-2.2274995,0.01783654
2.057444,2.0461762,-1.3386271,-2.0552144,0.041709244
1.908958,1.8986038,-0.7243131,-1.910266,0.030708758
1.7807785,1.7704026,0.44469866,-1.7827115,0.042815123
1.6665236,1.6567007,1.6780634,-1.6712921,0.025563471
1.5675951,1.5592477,1.577738,-1.5729808,0.02984814
1.4799131,1.4724532,1.4872885,-1.4849148,0.05068562
1.4013805,1.3950361,1.4098133,-1.4080464,0.04147827
1.330167,1.3252842,1.3387122,-1.337644,0.045054507
1.2657359,1.2621756,1.2748188,-1.2739468,0.0780667
1.206954,1.204249,1.2163869,-1.21604,0.050497252
1.1533499,1.1522883,1.1636332,-1.1631687,0.014327597
1.1049122,1.1042764,1.1151485,-1.1147034,0.0666193
1.0602884,1.0598001,1.070054,-1.0701152,0.052956972
1.0195081,1.0193908,1.0287808,-1.028957,0.0674823
0.9817485,0.98163545,0.9902821,-0.9909604,0.05331927
0.9466316,0.94657713,0.954479,-0.95589596,0.048190534
0.91404176,0.91393656,0.92819583,-0.9225131,0.07270658
0.88357365,0.88342106,0.8904401,-0.89186436,0.049234226
0.85492367,0.85497284,0.86122406,-0.8629961,0.06172045
0.82835037,0.8279212,0.8343585,-0.8360275,0.049723044
0.80311006,0.80287886,0.8087974,-0.8107395,0.06271982
0.77962387,0.7792199,0.78465027,-0.78689426,0.04404696
0.7568693,0.75691295,0.7622317,-0.764368,0.06707082
0.73618424,0.7359723,0.7409738,-0.7421183,0.09181872
0.7163286,0.71608114,0.72057635,-0.72239095,0.079845
0.6974377,0.69715667,0.70133275,-0.7027382,0.07366576
0.67959386,0.6792417,0.6831151,-0.6844063,0.080229506
0.662604,0.66233695,0.6656176,-0.6679446,0.07613329
0.6464429,0.6462196,0.64945745,-0.65221155,0.07232574
0.6310151,0.6307971,0.63399416,-0.6369734,0.08234941
0.6163403,0.6161274,0.61889523,-0.62216,0.099843994
0.6021592,0.6020898,0.6045867,-0.60774255,0.07115823
0.588744,0.58871007,0.5912193,-0.5931521,0.08072838
0.57597834,0.5758788,0.57826716,-0.58161753,0.08400063
0.563691,0.56365854,0.56570387,-0.56768435,0.08831124
0.5519475,0.5519157,0.55369586,-0.55458605,0.09084087
0.5406832,0.5406521,0.54242706,-0.545728,0.056883868
0.52986956,0.52986956,0.5313649,-0.5350576,0.09871622
0.5195099,0.51942015,0.5282763,-0.52435684,0.12118234
0.50951934,0.5094606,0.5108985,-0.5126005,0.10402421
0.4998194,0.49990577,0.5081974,-0.4958463,0.15145014
0.49061993,0.49061993,0.49856028,-0.49525416,0.12849315
0.4816441,0.48172733,0.4892736,-0.4668844,0.121931314
0.47309783,0.47309783,0.48070008,-0.47598615,0.09965954
0.4647711,0.46482465,0.47189197,-0.45636523,0.11398951
0.4567315,0.4568104,0.46370327,-0.45286414,0.13927267
0.44901615,0.4490679,0.45566288,-0.44642988,0.13176441
0.44155794,0.44155794,0.44806847,-0.4410747,0.13053912
0.43434432,0.4343193,0.44087318,-0.42043605,0.13649161
0.42728955,0.42733878,0.43359005,-0.4167559,0.14201203
0.4205314,0.4205314,0.42670766,-0.42077357,0.14337024
0.41398445,0.4139606,0.42008805,-0.41331682,0.15564097
0.40754503,0.4075685,0.4136017,-0.40017372,0.13780819
0.4013932,0.40143943,0.40733495,-0.37875897,0.13873467
0.39542502,0.39537948,0.39542502,-0.3700313,0.14574309
0.38960996,0.38958752,0.38960996,-0.3595407,0.1503258
0.38394132,0.38396344,0.38394132,-0.36474591,0.13932626
0.37847826,0.37843466,0.37847826,-0.37509948,0.1343993
0.37316906,0.3731046,0.37314758,-0.36672163,0.14864378
0.36794376,0.36798614,0.36794376,-0.35124362,0.16407967
0.36290345,0.36294526,0.36290345,-0.3066123,0.124670066
0.35797873,0.35804057,0.35804057,-0.33480152,0.15179995
0.35322604,0.35310397,0.35310397,-0.3100328,0.17591858
0.34855825,0.34861848,0.3485984,-0.2910357,0.15317151
0.34405133,0.34409097,0.3440315,-0.27784306,0.15497106
0.33962086,0.33967954,0.33962086,-0.28447318,0.18643953
0.33537978,0.33520594,0.33522525,-0.28444555,0.15750922
0.33113033,0.3311494,0.3311494,-0.30868047,0.16394046
0.32704228,0.32709882,0.32704228,-0.24454936,0.16580325
0.323054,0.323054,0.32307258,-0.23877577,0.1714114
0.31916177,0.31918016,0.31918016,-0.24146946,0.17987402
0.31536222,0.31539854,0.31536222,-0.24731421,0.19482298
0.31165206,0.31168798,0.31165206,-0.27556896,0.16375446
0.30804595,0.3080282,0.30804595,-0.2765875,0.19605403
0.3045052,0.30454028,0.30448765,-0.2915087,0.17641899
0.30094087,0.30092353,0.30094087,-0.2362287,0.17949538
0.29764524,0.29769668,0.29764524,-0.2325972,0.16066952
0.29433808,0.294372,0.29433808,-0.2145673,0.19739327
0.29112035,0.2911371,0.29110357,-0.20885575,0.19588959
0.287956,0.28797257,0.2879394,-0.2252447,0.20865366
0.2848597,0.2848597,0.2848597,-0.22876227,0.19725104
0.28182927,0.2818455,0.28181306,-0.18881418,0.20257235
0.27887872,0.27887872,0.27887872,-0.19101886,0.19073835
0.27594194,0.27598962,0.27594194,-0.20085485,0.19532028
0.27309716,0.27314436,0.27309716,-0.18231387,0.21209264
0.2703416,0.27031046,0.27031046,-0.17547096,0.18687329
0.26758006,0.26758006,0.26759547,-0.17681198,0.19502093
0.0,0.0,0.0,0.0,0.0059917853
-21.613644,-16.330969,-26.789501,26.86885,-0.0036106852
-7.726788,-0.07210017,-13.397039,13.422981,0.026117193
-1.2682788,6.210677,-8.926783,8.945094,-0.0009003845
0.29087543,5.3896775,-6.695468,6.705387,-0.031779528
5.37438,5.361868,-5.3530173,5.361868,0.007120771
4.476616,4.464663,-4.4654255,4.4664435,0.019799551
3.8331757,3.8198779,-3.8238018,3.827944,0.012361495
3.3528843,3.340295,-3.338388,3.348116,0.032628044
2.978646,2.9664383,-2.9594874,2.974916,0.0133249955
2.6797132,2.6690316,-2.6134894,2.6760511,0.03992178
1.8337878,1.8047957,-2.4245894,2.434161,0.007276386
2.2299156,2.219997,-1.5978101,2.2272449,0.01783654
2.0575616,2.04735,-0.533068,2.057444,0.041709244
1.907214,1.8976228,0.8354861,1.9105928,0.030708758
1.7792526,1.7695887,1.7890186,1.781694,0.042815123
1.666619,1.6571776,1.6748209,1.6704336,0.025563471
1.5677747,1.559158,1.574776,1.5697494,0.02984814
1.4792349,1.4724532,1.4873732,1.4833887,0.05068562
1.400738,1.3948754,1.4091709,1.4060384,0.04147827
1.3300145,1.3251317,1.3392463,1.3343632,0.045054507
0.9413729,0.9343243,1.2756181,1.2709675,0.0780667
1.2070234,1.2046652,1.2169418,1.2146528,0.050497252
1.1555392,1.1523547,1.1640313,1.159785,0.014327597
1.1044036,1.1039585,1.1146396,1.1084726,0.0666193
1.0602884,1.0601664,1.071336,1.0674295,0.052956972
1.0195081,1.0189799,1.0287808,1.0244966,0.0674823
0.9817485,0.9812964,0.9903386,0.98756945,0.05331927
0.94625014,0.94619566,0.95453346,0.9506098,0.048190534
0.9139892,0.9135682,0.9223552,0.917304,0.07270658
0.8834719,0.88316673,0.8913048,0.88845646,0.049234226
0.8550713,0.85467756,0.8613717,0.8576801,0.06172045
0.82782584,0.8279212,0.83364326,0.83130676,0.049723044
0.8031563,0.8028326,0.80801135,0.8050521,0.06271982
0.7794892,0.7792199,0.7841566,0.78272045,0.04404696
0.7572181,0.75700015,0.76183933,0.75804645,0.06707082
0.7362266,0.7359723,0.7413976,0.7388969,0.09181872
0.56386197,0.5672852,0.7216073,0.7199577,0.079845
0.6971165,0.6969157,0.702698,0.6997265,0.07366576
0.67959386,0.6792417,0.6843671,0.68182397,0.080229506
0.6623751,0.6622988,0.6669527,0.66477835,0.07613329
0.45801255,0.46102712,0.649383,0.6474105,0.07232574
0.6307608,0.63083345,0.6337399,0.6316327,0.08234941
0.6163403,0.6160919,0.6198534,0.6178307,0.099843994
0.6023673,0.6021245,0.60566175,0.6046214,0.07115823
0.58898133,0.58867615,0.59230435,0.5893204,0.08072838
0.57597834,0.575912,0.5788974,0.57614416,0.08400063
0.5639183,0.563691,0.5664831,0.5644702,0.08831124
0.5521382,0.5519475,0.5536641,0.5529965,0.09084087
0.5409012,0.5406832,0.5431433,0.54186654,0.056883868
0.5300832,0.5298085,0.5325856,0.53054094,0.09871622
0.51965946,0.51942015,0.5220829,0.52019805,0.12118234
0.5096954,0.50948995,0.51201355,0.51130927,0.10402421
0.5000497,0.4998194,0.50143164,0.5007982,0.15145014
0.4906482,0.49059168,0.4944629,0.49423683,0.12849315
0.4816996,0.4816996,0.48439068,0.48347515,0.121931314
0.4732613,0.47304332,0.47500518,0.47418773,0.09965954
0.46479785,0.4647711,0.46645758,0.46544033,0.11398951
0.4568104,0.4568104,0.4580206,0.4576523,0.13927267
0.4490679,0.44901615,0.4502834,0.45111102,0.13176441
0.44158337,0.44135448,0.44316012,0.44277865,0.13053912
0.43434432,0.43426928,0.4360703,0.43529487,0.13649161
0.42731416,0.42726493,0.42810172,0.42866775,0.14201203
0.4205314,0.4205314,0.42205727,0.4220815,0.14337024
0.41398445,0.4139606,0.4147474,0.41505733,0.15564097
0.40759197,0.4075685,0.4083432,0.4094465,0.13780819
0.4013932,0.40137008,0.40213302,0.4021099,0.13873467
0.39558446,0.39537948,0.39617658,0.39594883,0.14574309
0.3896324,0.38958752,0.39030558,0.39030558,0.1503258
